pin_prefix,states,districts
246,"uttarakhand, uttarpradesh","bijnor, chamoli, paurigarhwal, rudraprayag"
247,uttarpradesh,"saharanpur, shamli"
248,uttarakhand,dehradun
249,uttarakhand,"haridwar, tehrigarhwal, uttarkashi"
250,uttarpradesh,meerut
251,uttarpradesh,muzaffarnagar
261,uttarpradesh,sitapur
262,"uttarakhand, uttarpradesh","champawat, kheri, pilibhit, pithoragarh"
263,uttarakhand,"almora, bageshwar, nainital, udhamsinghnagar"
271,uttarpradesh,"bahraich, balrampur, gonda, shravasti"
272,uttarpradesh,"basti, santkabirnagar, siddharthnagar"
273,uttarpradesh,"gorakhpur, maharajganj"
274,uttarpradesh,"deoria, kushinagar"
275,uttarpradesh,mau
276,uttarpradesh,azamgarh
277,uttarpradesh,ballia
281,uttarpradesh,mathura
282,uttarpradesh,agra
283,uttarpradesh,firozabad
284,uttarpradesh,"jhansi, lalitpur"
285,uttarpradesh,jalaun
301,rajasthan,"alwar, khairthaltijara"
302,rajasthan,jaipur
303,rajasthan,"dausa, dudu, jaipur, kotputlibehror"
304,rajasthan,tonk
305,rajasthan,"ajmer, beawar, kekri"
306,rajasthan,pali
307,rajasthan,sirohi
311,rajasthan,"bhilwara, shahpura"
312,rajasthan,"chittorgarh, pratapgarh"
313,rajasthan,"rajsamand, salumbar, udaipur"
314,rajasthan,dungarpur
321,rajasthan,"bharatpur, deeg"
322,rajasthan,"gangapurcity, karauli, sawaimadhopur"
323,rajasthan,bundi
324,rajasthan,kota
325,rajasthan,baran
326,rajasthan,jhalawar
327,rajasthan,banswara
331,rajasthan,churu
332,rajasthan,"neemkathana, sikar"
333,rajasthan,jhunjhunu
334,rajasthan,bikaner
335,rajasthan,"anupgarh, hanumangarh, sriganganagar"
341,rajasthan,"didwanakuchaman, nagaur"
342,rajasthan,"jodhpur, phalodi"
343,rajasthan,"jalore, sanchore"
344,rajasthan,"balotra, barmer"
345,rajasthan,jaisalmer
360,gujarat,"porbandar, rajkot"
361,gujarat,"devbhumidwarka, jamnagar"
362,"dadraandnagarhavelianddamananddiu, gujarat","diu, girsomnath, junagadh"
363,gujarat,"morbi, surendranagar"
364,gujarat,"bhavnagar, botad"
365,gujarat,amreli
370,gujarat,kutch
380,gujarat,ahmedabad
382,gujarat,"ahmedabad, gandhinagar"
383,gujarat,"aravalli, sabarkantha"
384,gujarat,"mahesana, patan"
385,gujarat,banaskantha
387,gujarat,kheda
388,gujarat,anand
389,gujarat,"dahod, mahisagar, panchmahal"
390,gujarat,vadodara
