state,district,level,name,type,total_population,total_population_males,total_population_females,population_06,population_literate,population_illiterate,total_workers,total_workers_males,total_workers_females,non_workers
27,528,district,ratnagiri,rural,1351346,630213,721133,129073,979357,371989,628226,340433,287793,723120
27,528,district,ratnagiri,urban,263723,130908,132815,26487,220035,43688,85850,66575,19275,177873
21,396,district,rayagada,total,967911,471960,495951,148522,407735,560176,467122,258032,209090,500789
21,396,district,rayagada,rural,820945,397774,423171,132230,305758,515187,413699,217796,195903,407246
21,396,district,rayagada,urban,146966,74186,72780,16292,101977,44989,53423,40236,13187,93543
1,20,district,reasi,total,314667,166461,148206,55799,150542,164125,144767,88755,56012,169900
1,20,district,reasi,rural,287671,151481,136190,52507,131328,156343,133869,80184,53685,153802
1,20,district,reasi,urban,26996,14980,12016,3292,19214,7782,10898,8571,2327,16098
23,430,district,rewa,total,2365106,1225100,1140006,351983,1441757,923349,991946,617184,374762,1373160
23,430,district,rewa,rural,1969321,1017839,951482,303761,1156917,812404,855559,516289,339270,1113762
23,430,district,rewa,urban,395785,207261,188524,48222,284840,110945,136387,100895,35492,259398
6,85,district,rewari,total,900332,474335,425997,113893,636947,263385,337727,235326,102401,562605
6,85,district,rewari,rural,666902,349710,317192,84052,464452,202450,264375,172179,92196,402527
6,85,district,rewari,urban,233430,124625,108805,29841,172495,60935,73352,63147,10205,160078
17,297,district,ribhoi,total,258840,132531,126309,52862,155859,102981,106473,63871,42602,152367
17,297,district,ribhoi,rural,233587,118705,114882,48727,137817,95770,96360,56384,39976,137227
17,297,district,ribhoi,urban,25253,13826,11427,4135,18042,7211,10113,7487,2626,15140
6,82,district,rohtak,total,1061204,568479,492725,129330,747582,313622,345967,272646,73321,715237
6,82,district,rohtak,rural,615040,332034,283006,77793,412667,202373,212681,161605,51076,402359
6,82,district,rohtak,urban,446164,236445,209719,51537,334915,111249,133286,111041,22245,312878
10,234,district,rohtas,total,2959918,1543546,1416372,506810,1799832,1160086,924879,707939,216940,2035039
10,234,district,rohtas,rural,2532153,1318276,1213877,443797,1514047,1018106,811019,610075,200944,1721134
10,234,district,rohtas,urban,427765,225270,202495,63013,285785,141980,113860,97864,15996,313905
5,58,district,rudraprayag,total,242285,114589,127696,32046,170933,71352,113032,52339,60693,129253
5,58,district,rudraprayag,rural,232360,108740,123620,30995,162944,69416,108539,48799,59740,123821
5,58,district,rudraprayag,urban,9925,5849,4076,1051,7989,1936,4493,3540,953,5432
3,51,district,rupnagar,total,684627,357485,327142,72926,502731,181896,233676,186910,46766,450951
3,51,district,rupnagar,rural,506820,264089,242731,55079,364922,141898,175762,138753,37009,331058
3,51,district,rupnagar,urban,177807,93396,84411,17847,137809,39998,57914,48157,9757,119893
24,472,district,sabarkantha,total,2428589,1244231,1184358,345490,1578734,849855,1084878,681435,403443,1343711
24,472,district,sabarkantha,rural,2064869,1056141,1008728,301867,1307989,756880,962910,584561,378349,1101959
24,472,district,sabarkantha,urban,363720,188090,175630,43623,270745,92975,121968,96874,25094,241752
23,427,district,sagar,total,2378458,1256257,1122201,356903,1545719,832739,1006035,682077,323958,1372423
23,427,district,sagar,rural,1669662,884133,785529,265661,1011982,657680,743401,487097,256304,926261
23,427,district,sagar,urban,708796,372124,336672,91242,533737,175059,262634,194980,67654,446162
9,132,district,saharanpur,total,3466382,1834106,1632276,519591,2077108,1389274,1037344,911136,126208,2429038
9,132,district,saharanpur,rural,2399856,1269803,1130053,374994,1390046,1009810,718379,629914,88465,1681477
9,132,district,saharanpur,urban,1066526,564303,502223,144597,687062,379464,318965,281222,37743,747561
10,214,district,saharsa,total,1900661,997174,903487,387479,804996,1095665,649898,456724,193174,1250763
10,214,district,saharsa,rural,1744121,913883,830238,361731,706077,1038044,608097,420994,187103,1136024
10,214,district,saharsa,urban,156540,83291,73249,25748,98919,57621,41801,35730,6071,114739
20,352,district,sahibganj,total,1150567,589391,561176,221955,483263,667304,490202,295690,194512,660365
20,352,district,sahibganj,rural,990901,505892,485009,196990,384659,606242,441266,256800,184466,549635
20,352,district,sahibganj,urban,159666,83499,76167,24965,98604,61062,48936,38890,10046,110730
3,52,district,sahibzadaajitsinghnagar,total,994628,529253,465375,115644,736575,258053,355995,283367,72628,638633
3,52,district,sahibzadaajitsinghnagar,rural,450017,240984,209033,53006,313569,136448,161671,131166,30505,288346
3,52,district,sahibzadaajitsinghnagar,urban,544611,288269,256342,62638,423006,121605,194324,152201,42123,350287
15,288,district,saiha,total,56574,28594,27980,9653,42233,14341,19461,12211,7250,37113
15,288,district,saiha,rural,31464,15853,15611,5857,21963,9501,11385,6959,4426,20079
15,288,district,saiha,urban,25110,12741,12369,3796,20270,4840,8076,5252,2824,17034
33,608,district,salem,total,3482056,1781571,1700485,344960,2285562,1196494,1694160,1083797,610363,1787896
33,608,district,salem,rural,1707934,883274,824660,173421,1008761,699173,931921,544370,387551,776013
33,608,district,salem,urban,1774122,898297,875825,171539,1276801,497321,762239,539427,222812,1011883
10,221,district,samastipur,total,4261566,2230003,2031563,797381,2142880,2118686,1343400,1037576,305824,2918166
10,221,district,samastipur,rural,4113769,2152273,1961496,776342,2040582,2073187,1302752,1003093,299659,2811017
10,221,district,samastipur,urban,147797,77730,70067,21039,102298,45499,40648,34483,6165,107149
1,22,district,samba,total,318898,169124,149774,38669,228139,90759,92526,81952,10574,226372
1,22,district,samba,rural,265283,139365,125918,32890,185746,79537,74909,66123,8786,190374
1,22,district,samba,urban,53615,29759,23856,5779,42393,11222,17617,15829,1788,35998
21,372,district,sambalpur,total,1041099,526877,514222,117848,703691,337408,505840,313161,192679,535259
21,372,district,sambalpur,rural,733006,368692,364314,84408,470897,262109,390542,224576,165966,342464
21,372,district,sambalpur,urban,308093,158185,149908,33440,232794,75299,115298,88585,26713,192795
27,531,district,sangli,total,2822143,1435728,1386415,306777,2049467,772676,1215104,800214,414890,1607039
27,531,district,sangli,rural,2102786,1071124,1031662,230283,1495094,607692,963991,609192,354799,1138795
27,531,district,sangli,urban,719357,364604,354753,76494,554373,164984,251113,191022,60091,468244
3,53,district,sangrur,total,1655169,878029,777140,181334,1002077,653092,568758,485129,83629,1086411
3,53,district,sangrur,rural,1139204,604653,534551,122324,658857,480347,396491,336362,60129,742713
3,53,district,sangrur,urban,515965,273376,242589,59010,343220,172745,172267,148767,23500,343698
9,186,district,santkabirnagar,total,1715183,869656,845527,283912,954949,760234,539469,383482,155987,1175714
9,186,district,santkabirnagar,rural,1586652,802609,784043,264830,872802,713850,501135,352776,148359,1085517
9,186,district,santkabirnagar,urban,128531,67047,61484,19082,82147,46384,38334,30706,7628,90197
9,198,district,santravidasnagarbhadohi,total,1578213,807099,771114,258583,910146,668067,470608,343155,127453,1107605
9,198,district,santravidasnagarbhadohi,rural,1348911,686589,662322,223738,767870,581041,403971,288608,115363,944940
9,198,district,santravidasnagarbhadohi,urban,229302,120510,108792,34845,142276,87026,66637,54547,12090,162665
20,369,district,saraikelakharsawan,total,1065056,544411,520645,159596,612993,452063,430051,283281,146770,635005
20,369,district,saraikelakharsawan,rural,806310,408848,397462,122667,434348,371962,351388,215864,135524,454922
20,369,district,saraikelakharsawan,urban,258746,135563,123183,36929,178645,80101,78663,67417,11246,180083
10,219,district,saran,total,3951862,2022821,1929041,681142,2157454,1794408,1040231,857660,182571,2911631
10,219,district,saran,rural,3598660,1838119,1760541,627261,1932589,1666071,949632,778639,170993,2649028
10,219,district,saran,urban,353202,184702,168500,53881,224865,128337,90599,79021,11578,262603
27,527,district,satara,total,3003741,1510842,1492899,317885,2225694,778047,1354947,844805,510142,1648794
27,527,district,satara,rural,2433363,1219749,1213614,258567,1770750,662613,1154701,695373,459328,1278662
27,527,district,satara,urban,570378,291093,279285,59318,454944,115434,200246,149432,50814,370132
23,429,district,satna,total,2228935,1157495,1071440,330661,1371781,857154,911349,590487,320862,1317586
23,429,district,satna,rural,1754517,907904,846613,271421,1029244,725273,751452,466468,284984,1003065
23,429,district,satna,urban,474418,249591,224827,59240,342537,131881,159897,124019,35878,314521
8,108,district,sawaimadhopur,total,1335551,704031,631520,201188,741748,593803,578068,343802,234266,757483
8,108,district,sawaimadhopur,rural,1069084,564592,504492,165328,559632,509452,498185,277779,220406,570899
8,108,district,sawaimadhopur,urban,266467,139439,127028,35860,182116,84351,79883,66023,13860,186584
23,445,district,sehore,total,1311332,683743,627589,197429,780362,530970,586087,364559,221528,725245
23,445,district,sehore,rural,1062870,554636,508234,165220,603846,459024,504012,298844,205168,558858
23,445,district,sehore,urban,248462,129107,119355,32209,176516,71946,82075,65715,16360,166387
14,272,district,senapati,total,479148,247323,231825,63335,264477,214671,233622,124143,109479,245526
14,272,district,senapati,rural,471672,243603,228069,62319,258978,212694,231023,122587,108436,240649
14,272,district,senapati,urban,7476,3720,3756,1016,5499,1977,2599,1556,1043,4877
23,456,district,seoni,total,1379131,695879,683252,180784,864194,514937,684434,394660,289774,694697
23,456,district,seoni,rural,1215241,612314,602927,162978,734368,480873,628170,351188,276982,587071
23,456,district,seoni,urban,163890,83565,80325,17806,129826,34064,56264,43472,12792,107626
15,285,district,serchhip,total,64937,32851,32086,9299,54476,10461,32397,18261,14136,32540
15,285,district,serchhip,rural,32918,16643,16275,5154,27094,5824,17648,9482,8166,15270
15,285,district,serchhip,urban,32019,16208,15811,4145,27382,4637,14749,8779,5970,17270
23,460,district,shahdol,total,1066063,540021,526042,159806,604194,461869,493057,292402,200655,573006
23,460,district,shahdol,rural,846463,426583,419880,134299,442701,403762,423913,236924,186989,422550
23,460,district,shahdol,urban,219600,113438,106162,25507,161493,58107,69144,55478,13666,150456
3,39,district,shahidbhagatsinghnagar,total,612310,313291,299019,62719,438459,173851,204329,170252,34077,407981
3,39,district,shahidbhagatsinghnagar,rural,486894,248118,238776,49364,345595,141299,162775,135313,27462,324119
3,39,district,shahidbhagatsinghnagar,urban,125416,65173,60243,13355,92864,32552,41554,34939,6615,83862
9,152,district,shahjahanpur,total,3006538,1606403,1400135,502625,1490930,1515608,892214,783313,108901,2114324
9,152,district,shahjahanpur,rural,2412446,1293714,1118732,425780,1156822,1255624,719110,630984,88126,1693336
9,152,district,shahjahanpur,urban,594092,312689,281403,76845,334108,259984,173104,152329,20775,420988
23,436,district,shajapur,total,1512681,780520,732161,217759,894612,618069,717871,431857,286014,794810
23,436,district,shajapur,rural,1219133,629273,589860,178681,690374,528759,614874,352239,262635,604259
23,436,district,shajapur,urban,293548,151247,142301,39078,204238,89310,102997,79618,23379,190551
10,228,district,sheikhpura,total,636342,329743,306599,121647,328676,307666,224655,151569,73086,411687
10,228,district,sheikhpura,rural,527340,272360,254980,103050,264495,262845,193302,126252,67050,334038
10,228,district,sheikhpura,urban,109002,57383,51619,18597,64181,44821,31353,25317,6036,77649
10,205,district,sheohar,total,656246,346673,309573,128698,283698,372548,216372,166693,49679,439874
10,205,district,sheohar,rural,628130,331792,296338,123299,269623,358507,208348,159997,48351,419782
10,205,district,sheohar,urban,28116,14881,13235,5399,14075,14041,8024,6696,1328,20092
23,418,district,sheopur,total,687861,361784,326077,116639,328025,359836,277455,183788,93667,410406
23,418,district,sheopur,rural,580509,305360,275149,101213,261053,319456,243870,156285,87585,336639
23,418,district,sheopur,urban,107352,56424,50928,15426,66972,40380,33585,27503,6082,73767
2,33,district,shimla,total,814010,425039,388971,81564,612642,201368,430926,258628,172298,383084
2,33,district,shimla,rural,612659,314295,298364,64881,440712,171947,346311,194824,151487,266348
2,33,district,shimla,urban,201351,110744,90607,16683,171930,29421,84615,63804,20811,116736
29,568,district,shimoga,total,1752753,877415,875338,182751,1263016,489737,780598,534487,246111,972155
29,568,district,shimoga,rural,1129026,565821,563205,119703,770817,358209,554351,355267,199084,574675
29,568,district,shimoga,urban,623727,311594,312133,63048,492199,131528,226247,179220,47027,397480
23,423,district,shivpuri,total,1726050,919795,806255,285770,900846,825204,759281,481001,278280,966769
23,423,district,shivpuri,rural,1430627,763554,667073,245774,703640,726987,665928,404291,261637,764699
23,423,district,shivpuri,urban,295423,156241,139182,39996,197206,98217,93353,76710,16643,202070
9,181,district,shrawasti,total,1117361,593897,523464,211706,423313,694048,403755,293981,109774,713606
9,181,district,shrawasti,rural,1078712,573681,505031,205898,402379,676333,393816,284942,108874,684896
9,181,district,shrawasti,urban,38649,20216,18433,5808,20934,17715,9939,9039,900,28710
1,13,district,shupiyan,total,266215,136480,129735,41547,136500,129715,87721,63931,23790,178494
1,13,district,shupiyan,rural,249855,127161,122694,39484,125256,124599,80924,58276,22648,168931
1,13,district,shupiyan,urban,16360,9319,7041,2063,11244,5116,6797,5655,1142,9563
9,184,district,siddharthnagar,total,2559297,1295095,1264202,485138,1228926,1330371,878898,583633,295265,1680399
9,184,district,siddharthnagar,rural,2398606,1212141,1186465,459756,1131307,1267299,832291,546988,285303,1566315
9,184,district,siddharthnagar,urban,160691,82954,77737,25382,97619,63072,46607,36645,9962,114084
23,462,district,sidhi,total,1127033,575912,551121,194528,600785,526248,461760,284289,177471,665273
23,462,district,sidhi,rural,1033912,527378,506534,181480,537755,496157,430176,261274,168902,603736
23,462,district,sidhi,urban,93121,48534,44587,13048,63030,30091,31584,23015,8569,61537
8,111,district,sikar,total,2677333,1374990,1302343,379874,1652117,1025216,1006504,657854,348650,1670829
8,111,district,sikar,rural,2043427,1047469,995958,291732,1240835,802592,825300,501249,324051,1218127
8,111,district,sikar,urban,633906,327521,306385,88142,411282,222624,181204,156605,24599,452702
11,0,state,sikkim,total,610577,323070,287507,64111,444952,165625,308138,194358,113780,302439
11,0,state,sikkim,rural,456999,242797,214202,49218,321930,135069,243785,148186,95599,213214
11,0,state,sikkim,urban,153578,80273,73305,14893,123022,30556,64353,46172,18181,89225
20,367,district,simdega,total,599578,300309,299269,94414,343483,256095,288645,159867,128778,310933
20,367,district,simdega,rural,556634,278425,278209,88993,311416,245218,275254,149948,125306,281380
20,367,district,simdega,urban,42944,21884,21060,5421,32067,10877,13391,9919,3472,29553
27,529,district,sindhudurg,total,849651,417332,432319,71193,666067,183584,347178,229676,117502,502473
27,529,district,sindhudurg,rural,742645,363268,379377,61715,576273,166372,308963,200343,108620,433682
27,529,district,sindhudurg,urban,107006,54064,52942,9478,89794,17212,38215,29333,8882,68791
23,463,district,singrauli,total,1178273,613637,564636,209792,585054,593219,499439,304234,195205,678834
23,463,district,singrauli,rural,951487,493324,458163,178988,437064,514423,430700,247259,183441,520787
23,463,district,singrauli,urban,226786,120313,106473,30804,147990,78796,68739,56975,11764,158047
2,32,district,sirmaur,total,529855,276289,253566,69620,362645,167210,280083,169399,110684,249772
2,32,district,sirmaur,rural,472690,246175,226515,63387,316436,156254,260263,153678,106585,212427
2,32,district,sirmaur,urban,57165,30114,27051,6233,46209,10956,19820,15721,4099,37345
8,117,district,sirohi,total,1036346,534231,502115,173364,476806,559540,419829,272196,147633,616517
8,117,district,sirohi,rural,827692,424252,403440,147415,333009,494683,352570,215345,137225,475122
8,117,district,sirohi,urban,208654,109979,98675,25949,143797,64857,67259,56851,10408,141395
6,79,district,sirsa,total,1295189,682582,612607,157667,782897,512292,502003,369462,132541,793186
6,79,district,sirsa,rural,975941,514177,461764,120421,559635,416306,396743,280447,116296,579198
6,79,district,sirsa,urban,319248,168405,150843,37246,223262,95986,105260,89015,16245,213988
10,206,district,sitamarhi,total,3423574,1803252,1620322,663227,1436794,1986780,1114583,865929,248654,2308991
10,206,district,sitamarhi,rural,3233076,1701685,1531391,632742,1320969,1912107,1058362,818584,239778,2174714
10,206,district,sitamarhi,urban,190498,101567,88931,30485,115825,74673,56221,47345,8876,134277
9,154,district,sitapur,total,4483992,2375264,2108728,747558,2283733,2200259,1422602,1171252,251350,3061390
9,154,district,sitapur,rural,3953208,2098123,1855085,676004,1952518,2000690,1262595,1038888,223707,2690613
9,154,district,sitapur,urban,530784,277141,253643,71554,331215,199569,160007,132364,27643,370777
33,622,district,sivaganga,total,1339101,668672,670429,137235,959744,379357,620171,391305,228866,718930
33,622,district,sivaganga,rural,926256,462210,464046,95563,629045,297211,471554,275948,195606,454702
33,622,district,sivaganga,urban,412845,206462,206383,41672,330699,82146,148617,115357,33260,264228
18,311,district,sivasagar,total,1151050,589216,561834,139380,813505,337545,485717,325071,160646,665333
18,311,district,sivasagar,rural,1040954,531286,509668,128289,723490,317464,444911,291536,153375,596043
18,311,district,sivasagar,urban,110096,57930,52166,11091,90015,20081,40806,33535,7271,69290
10,218,district,siwan,total,3330464,1675090,1655374,551418,1930175,1400289,932416,730396,202020,2398048
10,218,district,siwan,rural,3147551,1579685,1567866,525960,1807466,1340085,883633,689257,194376,2263918
10,218,district,siwan,urban,182913,95405,87508,25458,122709,60204,48783,41139,7644,134130
2,31,district,solan,total,580320,308754,271566,68137,428578,151742,298737,190001,108736,281583
2,31,district,solan,rural,478173,249736,228437,57250,346074,132099,253163,152576,100587,225010
2,31,district,solan,urban,102147,59018,43129,10887,82504,19643,45574,37425,8149,56573
27,526,district,solapur,total,4317756,2227852,2089904,538453,2910676,1407080,1898395,1206933,691462,2419361
27,526,district,solapur,rural,2918665,1518343,1400322,376328,1882788,1035877,1395123,841443,553680,1523542
27,526,district,solapur,urban,1399091,709509,689582,162125,1027888,371203,503272,365490,137782,895819
9,200,district,sonbhadra,total,1862559,971344,891215,323092,985708,876851,730399,463611,266788,1132160
9,200,district,sonbhadra,rural,1548217,803345,744872,284923,752876,795341,640617,386654,253963,907600
9,200,district,sonbhadra,urban,314342,167999,146343,38169,232832,81510,89782,76957,12825,224560
6,76,district,sonipat,total,1450001,781299,668702,188262,998316,451685,523179,391085,132094,926822
6,76,district,sonipat,rural,996637,538750,457887,132007,665141,331496,376188,272033,104155,620449
6,76,district,sonipat,urban,453364,242549,210815,56255,333175,120189,146991,119052,27939,306373
18,306,district,sonitpur,total,1924110,983904,940206,277862,1108572,815538,770606,537195,233411,1153504
18,306,district,sonitpur,rural,1750265,894985,855280,260964,967739,782526,708476,485717,222759,1041789
18,306,district,sonitpur,urban,173845,88919,84926,16898,140833,33012,62130,51478,10652,111715
7,98,district,south,total,2731929,1467428,1264501,331043,2078402,653527,924393,775592,148801,1807536
7,98,district,south,rural,12193,6819,5374,1797,8136,4057,4226,3583,643,7967
7,98,district,south,urban,2719736,1460609,1259127,329246,2070266,649470,920167,772009,148158,1799569
35,640,district,southandaman,total,238142,127283,110859,24661,190266,47876,96831,77563,19268,141311
35,640,district,southandaman,rural,97395,52103,45292,10447,76072,21323,39799,32132,7667,57596
35,640,district,southandaman,urban,140747,75180,65567,14214,114194,26553,57032,45431,11601,83715
11,243,district,southdistrict,total,146850,76670,70180,15744,106741,40109,74753,45300,29453,72097
11,243,district,southdistrict,rural,125651,65848,59803,13736,89766,35885,66807,39645,27162,58844
11,243,district,southdistrict,urban,21199,10822,10377,2008,16975,4224,7946,5655,2291,13253
17,295,district,southgarohills,total,142334,73170,69164,27909,82062,60272,53069,32826,20243,89265
17,295,district,southgarohills,rural,129203,66470,62733,25678,72275,56928,49289,30009,19280,79914
17,295,district,southgarohills,urban,13131,6700,6431,2231,9787,3344,3780,2817,963,9351
30,586,district,southgoa,total,640537,322463,318074,66906,502427,138110,249590,180411,69179,390947
30,586,district,southgoa,rural,226804,111528,115276,23279,172644,54160,88980,60947,28033,137824
30,586,district,southgoa,urban,413733,210935,202798,43627,329783,83950,160610,119464,41146,253123
16,290,district,southtripura,total,876001,447544,428457,111949,646810,229191,366845,253229,113616,509156
16,290,district,southtripura,rural,752970,384787,368183,100135,542886,210084,321763,216964,104799,431207
16,290,district,southtripura,urban,123031,62757,60274,11814,103924,19107,45082,36265,8817,77949
19,343,district,southtwentyfourparganas,total,8161961,4173778,3988183,1025679,5531657,2630304,2964494,2356571,607923,5197467
19,343,district,southtwentyfourparganas,rural,6074188,3109219,2964969,806415,3986878,2087310,2204605,1744131,460474,3869583
19,343,district,southtwentyfourparganas,urban,2087773,1064559,1023214,219264,1544779,542994,759889,612440,147449,1327884
7,97,district,southwest,total,2292958,1246046,1046912,267989,1787689,505269,795352,667977,127375,1497606
7,97,district,southwest,rural,143676,77342,66334,18901,105998,37678,44049,37844,6205,99627
7,97,district,southwest,urban,2149282,1168704,980578,249088,1681691,467591,751303,630133,121170,1397979
28,542,district,srikakulam,total,2703114,1341738,1361376,281037,1495381,1207733,1290288,766483,523805,1412826
28,542,district,srikakulam,rural,2266411,1126888,1139523,238331,1186662,1079749,1128764,648676,480088,1137647
28,542,district,srikakulam,urban,436703,214850,221853,42706,308719,127984,161524,117807,43717,275179
1,10,district,srinagar,total,1236829,651124,585705,158300,748584,488245,407188,333151,74037,829641
1,10,district,srinagar,rural,17313,8916,8397,2497,7928,9385,5536,4290,1246,11777
1,10,district,srinagar,urban,1219516,642208,577308,155803,740656,478860,401652,328861,72791,817864
28,550,district,sripottisriramulunellore,total,2963557,1492974,1470583,304309,1832189,1131368,1314561,859880,454681,1648996
28,550,district,sripottisriramulunellore,rural,2105927,1060810,1045117,224081,1197619,908308,1024318,629986,394332,1081609
28,550,district,sripottisriramulunellore,urban,857630,432164,425466,80228,634570,223060,290243,229894,60349,567387
21,392,district,subarnapur,total,610183,311312,298871,74821,398421,211762,286661,181595,105066,323522
21,392,district,subarnapur,rural,560242,285634,274608,69350,361498,198744,268217,167495,100722,292025
21,392,district,subarnapur,urban,49941,25678,24263,5471,36923,13018,18444,14100,4344,31497
9,179,district,sultanpur,total,3797117,1914586,1882531,563373,2239902,1557215,1242632,869838,372794,2554485
9,179,district,sultanpur,rural,3597201,1810496,1786705,539343,2093674,1503527,1184226,822074,362152,2412975
9,179,district,sultanpur,urban,199916,104090,95826,24030,146228,53688,58406,47764,10642,141510
21,374,district,sundargarh,total,2093437,1061147,1032290,263160,1342322,751115,873227,584687,288540,1220210
21,374,district,sundargarh,rural,1355340,676068,679272,181482,782147,573193,625502,380409,245093,729838
21,374,district,sundargarh,urban,738097,385079,353018,81678,560175,177922,247725,204278,43447,490372
10,208,district,supaul,total,2229076,1155283,1073793,437357,1033283,1195793,877682,551718,325964,1351394
10,208,district,supaul,rural,2123518,1099495,1024023,419703,969344,1154174,847527,526542,320985,1275991
10,208,district,supaul,urban,105558,55788,49770,17654,63939,41619,30155,25176,4979,75403
24,492,district,surat,total,6081322,3402224,2679098,736286,4571410,1509912,2553542,2142819,410723,3527780
24,492,district,surat,rural,1232109,640060,592049,139486,840444,391665,595399,400450,194949,636710
24,492,district,surat,urban,4849213,2762164,2087049,596800,3730966,1118247,1958143,1742369,215774,2891070
24,475,district,surendranagar,total,1756268,909917,846351,240011,1093626,662642,723500,504038,219462,1032768
24,475,district,surendranagar,rural,1259352,649475,609877,184063,730703,528649,555696,361683,194013,703656
24,475,district,surendranagar,urban,496916,260442,236474,55948,362923,133993,167804,142355,25449,329112
22,401,district,surguja,total,2359886,1193129,1166757,380445,1187941,1171945,1155807,649888,505919,1204079
22,401,district,surguja,rural,2116965,1067908,1049057,350022,1008398,1108567,1079652,589384,490268,1037313
22,401,district,surguja,urban,242921,125221,117700,30423,179543,63378,76155,60504,15651,166766
14,273,district,tamenglong,total,140651,72371,68280,19307,85006,55645,70675,37237,33438,69976
14,273,district,tamenglong,rural,121288,62534,58754,16624,70502,50786,63296,33052,30244,57992
14,273,district,tamenglong,urban,19363,9837,9526,2683,14504,4859,7379,4185,3194,11984
33,0,state,tamilnadu,total,72147030,36137975,36009055,7423832,51837507,20309523,32884681,21434978,11449703,39262349
33,0,state,tamilnadu,rural,37229590,18679065,18550525,3911302,24502195,12727395,18861330,11214535,7646795,18368260
33,0,state,tamilnadu,urban,34917440,17458910,17458530,3512530,27335312,7582128,14023351,10220443,3802908,20894089
24,493,district,tapi,total,807022,402188,404834,89075,490036,316986,450902,251049,199853,356120
24,493,district,tapi,rural,727535,361548,365987,80048,430376,297159,421201,228595,192606,306334
24,493,district,tapi,urban,79487,40640,38847,9027,59660,19827,29701,22454,7247,49786
3,50,district,tarntaran,total,1119627,589369,530258,137223,666162,453465,380702,313639,67063,738925
3,50,district,tarntaran,rural,977832,514322,463510,120988,570113,407719,333853,274165,59688,643979
3,50,district,tarntaran,urban,141795,75047,66748,16235,96049,45746,46849,39474,7375,94946
12,245,district,tawang,total,49977,29151,20826,5788,26073,23904,28561,19554,9007,21416
12,245,district,tawang,rural,38775,20792,17983,5099,16519,22256,20475,12300,8175,18300
12,245,district,tawang,urban,11202,8359,2843,689,9554,1648,8086,7254,832,3116
5,59,district,tehrigarhwal,total,618931,297986,320945,84657,407994,210937,280442,140821,139621,338489
5,59,district,tehrigarhwal,rural,548792,259381,289411,76718,352776,196016,257529,121365,136164,291263
5,59,district,tehrigarhwal,urban,70139,38605,31534,7939,55218,14921,22913,19456,3457,47226
27,517,district,thane,total,11060148,5865078,5195070,1327146,8227161,2832987,4492767,3363123,1129644,6567381
27,517,district,thane,rural,2545470,1300136,1245334,364206,1539885,1005585,1169729,729418,440311,1375741
27,517,district,thane,urban,8514678,4564942,3949736,962940,6687276,1827402,3323038,2633705,689333,5191640
33,620,district,thanjavur,total,2405890,1182416,1223474,238598,1790998,614892,974079,680483,293596,1431811
33,620,district,thanjavur,rural,1554531,765177,789354,156457,1104986,449545,677119,447790,229329,877412
33,620,district,thanjavur,urban,851359,417239,434120,82141,686012,165347,296960,232693,64267,554399
24,489,district,thedangs,total,228291,113821,114470,40743,140968,87323,118257,61329,56928,110034
24,489,district,thedangs,rural,203604,101710,101894,37988,121597,82007,110886,55758,55128,92718
24,489,district,thedangs,urban,24687,12111,12576,2755,19371,5316,7371,5571,1800,17316
33,624,district,theni,total,1245899,625683,620216,119661,870080,375819,591642,368900,222742,654257
33,624,district,theni,rural,575418,290880,284538,56497,376650,198768,305029,173848,131181,270389
33,624,district,theni,urban,670481,334803,335678,63164,493430,177051,286613,195052,91561,383868
33,611,district,thenilgiris,total,735394,360143,375251,66799,569647,165747,349974,212172,137802,385420
33,611,district,thenilgiris,rural,299739,145909,153830,26292,221955,77784,160151,88967,71184,139588
33,611,district,thenilgiris,urban,435655,214234,221421,40507,347692,87963,189823,123205,66618,245832
33,602,district,thiruvallur,total,3728104,1876062,1852042,405669,2791721,936383,1538054,1103563,434491,2190050
33,602,district,thiruvallur,rural,1299709,650462,649247,141907,859700,440009,607233,389017,218216,692476
33,602,district,thiruvallur,urban,2428395,1225600,1202795,263762,1932021,496374,930821,714546,216275,1497574
32,601,district,thiruvananthapuram,total,3301427,1581678,1719749,307061,2785408,516019,1231669,864101,367568,2069758
32,601,district,thiruvananthapuram,rural,1529831,724864,804967,147990,1267422,262409,583332,401155,182177,946499
32,601,district,thiruvananthapuram,urban,1771596,856814,914782,159071,1517986,253610,648337,462946,185391,1123259
33,619,district,thiruvarur,total,1264277,626693,637584,121973,946471,317806,540168,369853,170315,724109
33,619,district,thiruvarur,rural,1006482,499954,506528,96687,737887,268595,451099,299329,151770,555383
33,619,district,thiruvarur,urban,257795,126739,131056,25286,208584,49211,89069,70524,18545,168726
33,627,district,thoothukkudi,total,1750176,865021,885155,183763,1349697,400479,748095,503727,244368,1002081
33,627,district,thoothukkudi,rural,873374,430361,443013,91116,642686,230688,417938,255200,162738,455436
33,627,district,thoothukkudi,urban,876802,434660,442142,92647,707011,169791,330157,248527,81630,546645
14,276,district,thoubal,total,422168,210845,211323,60556,269304,152864,195319,109377,85942,226849
14,276,district,thoubal,rural,270835,135470,135365,39981,164370,106465,127102,70394,56708,143733
14,276,district,thoubal,urban,151333,75375,75958,20575,104934,46399,68217,38983,29234,83116
32,594,district,thrissur,total,3121200,1480763,1640437,303950,2678548,442652,1095727,789511,306216,2025473
32,594,district,thrissur,rural,1024794,488303,536491,100977,865471,159323,379199,268514,110685,645595
32,594,district,thrissur,urban,2096406,992460,1103946,202973,1813077,283329,716528,520997,195531,1379878
